user_id,isbn_13,rating_score
lynda.potter47@outlook.com,9780262140881,10.0
harold.sullivan36@outlook.com,9780778717546,6.0
joyce.park57@hotmail.fr,9780822208389,2.0
timmy.marshall24@gmail.com,9781425980245,4.0
clint.patton74@hotmail.fr,9781410336330,6.0
tasha.cohen28@yahoo.com,9780813533636,2.0
theodore.cruz2@outlook.com,9781439177747,10.0
jackie.jimenez74@gmail.com,9781982110567,10.0
donna.hines99@outlook.com,9780878054060,4.0
abel.jordan14@outlook.com,9781501156700,6.0
santiago.morton62@yahoo.com,9780778717546,6.0
frankie.phillips62@outlook.com,9788862080699,8.0
kay.copeland91@yahoo.com,9780007169702,8.0
vivian.white96@hotmail.fr,9781442456860,2.0
jaime.horton92@hotmail.fr,9781775417927,2.0
harvey.romero86@hotmail.com,9780815315117,2.0
lorene.barber1@gmail.com,9780715141069,10.0
terence.ford19@outlook.com,9780486242132,2.0
sheri.gonzales74@hotmail.fr,9780313330568,6.0
nicole.boone76@hotmail.com,9780547952093,6.0
nick.mccormick8@outlook.com,9781338312911,6.0
craig.mills29@yahoo.com,9781781109502,4.0
lorene.barber1@gmail.com,9780439882828,10.0
george.armstrong24@hotmail.com,9780080568782,8.0
eunice.roberts0@hotmail.com,9780715141069,10.0
cornelius.harrison41@outlook.com,9780395285237,4.0
martha.newton4@outlook.com,9781982127794,2.0
sherman.becker13@yahoo.com,9780130170071,2.0
florence.frazier52@yahoo.com,9781845931230,8.0
krista.lopez48@hotmail.fr,9780099586579,10.0
jane.aguilar83@hotmail.com,9781423902294,2.0
jake.hernandez35@gmail.com,9780262140881,6.0
jack.white60@yahoo.com,9781859846667,10.0
elsa.ballard97@yahoo.com,9781982110567,4.0
patsy.mccarthy68@hotmail.com,9781501156700,4.0
joanna.klein73@hotmail.com,9780415892902,2.0
sharon.thornton45@hotmail.fr,9780132778046,2.0
alejandro.payne8@yahoo.com,9780810160651,6.0
harold.sullivan36@outlook.com,9780778717546,2.0
oliver.morris7@hotmail.fr,9781848941328,2.0
sadie.reynolds10@hotmail.fr,9780813550398,6.0
gail.newton62@hotmail.com,9780822332879,8.0
katherine.gilbert78@hotmail.fr,9780465073825,4.0
terence.jensen6@hotmail.fr,9781781166178,2.0
sherman.oliver88@hotmail.fr,9780987055309,4.0
marianne.gibson4@hotmail.fr,9780618260225,8.0
craig.mills29@yahoo.com,9780801471810,10.0
dixie.thompson46@yahoo.com,9780671039738,10.0
hannah.blake50@hotmail.com,9789793780146,6.0
olive.sullivan80@outlook.com,9780007269723,8.0
estelle.tran74@yahoo.com,9781859846667,10.0
rosemarie.houston10@gmail.com,9781425980245,6.0
elias.nunez96@hotmail.com,9781139474399,8.0
donna.hines99@outlook.com,9780643099319,4.0
toby.frazier49@yahoo.com,9780582506244,8.0
elisa.phelps87@outlook.com,9780435375942,2.0
rose.west9@hotmail.com,9781444008555,4.0
leona.stevens0@hotmail.com,9780547952093,6.0
shannon.olson6@yahoo.com,9781539092346,2.0
deborah.byrd48@hotmail.com,9781423623823,8.0
beth.brooks90@hotmail.com,9780307766335,8.0
olivia.abbott42@gmail.com,9781594741791,8.0
florence.frazier52@yahoo.com,9781848940833,4.0
clint.williams32@yahoo.com,9781593270612,10.0
randal.day92@gmail.com,9780415892902,2.0
lisa.mann76@hotmail.fr,9780812215229,2.0
tasha.cohen28@yahoo.com,9780563533375,4.0
tim.simpson5@hotmail.com,9780395866191,4.0
sherman.oliver88@hotmail.fr,9780822208389,4.0
lauren.reese91@hotmail.com,9781843842217,4.0
toni.hampton68@gmail.com,9781786032720,4.0
loretta.bryan26@gmail.com,9781410336330,10.0
kay.copeland91@yahoo.com,9780521768740,10.0
karen.brady33@yahoo.com,9781444920468,4.0
mattie.stanley93@outlook.com,9780307795731,10.0
sharon.thornton45@hotmail.fr,9780080491981,10.0
malcolm.foster82@hotmail.fr,9781538750131,8.0
kristin.soto34@outlook.com,9780241960110,8.0
jason.mckinney44@hotmail.com,9789793780146,8.0
melba.barnes76@hotmail.com,9781101583821,2.0
kurt.cortez38@hotmail.fr,9781982127794,4.0
bradley.steele26@outlook.com,9781920693596,2.0
gail.hale54@hotmail.com,9781459612853,8.0
lisa.mann76@hotmail.fr,9780810850132,8.0
grady.obrien73@hotmail.com,9781538750131,4.0
megan.lawson73@hotmail.fr,9781459612853,4.0
ignacio.burke50@yahoo.com,9781848940833,6.0
catherine.harris98@gmail.com,9789793780146,2.0
kristopher.morrison98@hotmail.fr,9780547952093,6.0
jimmy.hernandez26@hotmail.fr,9780439043830,10.0
kurt.cortez38@hotmail.fr,9781845931230,10.0
kirk.taylor4@hotmail.fr,9780643099319,6.0
sandy.ingram90@hotmail.com,9780810850132,4.0
elbert.elliott17@yahoo.com,9780786484805,8.0
shirley.armstrong14@outlook.com,9781982110567,8.0
natasha.bell68@yahoo.com,9781444358292,10.0
neal.kim73@yahoo.com,9781447218296,10.0
wilma.rhodes1@hotmail.com,9781848941328,8.0
kellie.lee7@outlook.com,9780765398161,4.0
jack@gmail.com,9781338312911,4.0
olive.sullivan80@outlook.com,9781610164313,4.0
doug.garner47@outlook.com,9781410336330,4.0
jeannie.cross77@hotmail.com,9780415262903,10.0
mattie.stanley82@yahoo.com,9780738665474,10.0
